Year of study,Faculty,Your GPA Range,How do you describe yourself?,Preferred activity type,Are you willing to try new types of events?,Academic interests,Preferred Learning Platforms,Learning resource  preferences,Preferred learning format,"Extracurricular interest Assessment (1- not interested, 5- very interested)  [Sports]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Music]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Photography]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Volunteering]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Arts and Crafts]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Academic  workshops]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Study groups]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Cultural programs]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Tech events]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Social gatherings]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Career development sessions]",Preferred mode of participation,How often do you like to attend university events.,Have you attended university events before?,"If yes, Name one or more events you attended.(Academic, Social, Career-related, Cultural, Sports)","Rate your past event experience:  (1= Very poor, 5= Excellent) [Your Rating]",What did you like about previous events?,Any additional suggestions or preferences?,GPA_numeric,GPA_normalized
3rd year,applied sciences,2.0 - 2.5,introvert (i like being alone),group activities,"maybe, it depends on the event","technology, science","khanacademy, linkedin learning, university lms",based on interest,video lectures,5,3,4,4,4,5,5,5,3,4,4,physical,occasionally,no,academic,3.9066666666666654,good,no,2.25,0.1842105263157895
3rd year,applied sciences,2.6 - 3.0,introvert (i like being alone),individual sessions,"yes, i’m open to trying new events","science, psychology, soft skills (communication, leadership)","youtube, linkedin learning, university lms","based on interest, recommended by peers, suggested by platform","video lectures, notes/pdf, live sessions",4,1,5,3,4,5,3,3,3,5,4,physical,weekly,no,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
3rd year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),no preference,"yes, i’m open to trying new events",science,"youtube, university lms","based on interest, required for exams","video lectures, notes/pdf, discussion forums, live sessions",1,1,3,3,2,3,3,1,3,3,3,hybrid,monthly,yes,academic,3.0,leadership,no,2.8,0.4736842105263158
3rd year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),individual sessions,"maybe, it depends on the event","technology, science, competitive exams / certifications, soft skills (communication, leadership)","youtube, khanacademy, university lms","based on interest, required for exams, random browsing","interactive quizzes, notes/pdf, discussion forums",2,3,5,5,5,3,4,5,3,5,3,physical,rarely,no,academic,1.0,good,no,2.8,0.4736842105263158
3rd year,agriculture,2.6 - 3.0,ambivert (i like both alone time and being with people),group activities,"yes, i’m open to trying new events",technology,university lms,based on interest,notes/pdf,5,1,5,4,4,5,5,5,5,5,5,online,occasionally,yes,culture meet,5.0,culture drama,no,2.8,0.4736842105263158
3rd year,applied sciences,below 2.0,introvert (i like being alone),individual sessions,"yes, i’m open to trying new events","technology, psychology, soft skills (communication, leadership)","youtube, linkedin learning, university lms",based on interest,"video lectures, notes/pdf",1,1,1,4,2,4,1,1,2,2,1,online,rarely,yes,"cultural , career -related",4.0,team work and all contributions.,no,1.9,0.0
3rd year,applied sciences,2.6 - 3.0,extrovert (i enjoy being with others),group activities,"yes, i’m open to trying new events","competitive exams / certifications, soft skills (communication, leadership)","youtube, coursera",suggested by platform,"video lectures, interactive quizzes, notes/pdf",4,1,4,2,1,2,2,4,2,4,2,hybrid,occasionally,yes,"academic,sports",4.0,it's improved team collaboration,no,2.8,0.4736842105263158
3rd year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),group activities,"yes, i’m open to trying new events",business & management,youtube,random browsing,video lectures,3,3,4,4,4,3,3,3,3,4,4,physical,monthly,yes,"ai exhibition, captures25 (pera), ignite24",4.0,"fully engaged, interesting, well organized, time management is perfect, lecturer/couch conducted the the program well",no,2.8,0.4736842105263158
3rd year,applied sciences,3.1 - 3.5,ambivert (i like both alone time and being with people),no preference,"yes, i’m open to trying new events","technology, psychology, competitive exams / certifications, soft skills (communication, leadership)","youtube, coursera, linkedin learning","based on interest, recommended by peers, required for exams, random browsing, suggested by platform","video lectures, interactive quizzes, notes/pdf, discussion forums, live sessions",3,4,3,3,3,4,3,3,5,4,4,hybrid,occasionally,yes,academic,3.0,good,no,3.3,0.7368421052631579
3rd year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),individual sessions,"maybe, it depends on the event",technology,youtube,required for exams,discussion forums,3,2,3,1,2,2,2,2,2,3,4,online,occasionally,yes,career related,3.0,good,no,2.8,0.4736842105263158
