Year of study,Faculty,Your GPA Range,How do you describe yourself?,Preferred activity type,Are you willing to try new types of events?,Academic interests,Preferred Learning Platforms,Learning resource  preferences,Preferred learning format,"Extracurricular interest Assessment (1- not interested, 5- very interested)  [Sports]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Music]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Photography]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Volunteering]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Arts and Crafts]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Academic  workshops]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Study groups]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Cultural programs]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Tech events]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Social gatherings]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Career development sessions]",Preferred mode of participation,How often do you like to attend university events.,Have you attended university events before?,"If yes, Name one or more events you attended.(Academic, Social, Career-related, Cultural, Sports)","Rate your past event experience:  (1= Very poor, 5= Excellent) [Your Rating]",What did you like about previous events?,Any additional suggestions or preferences?,GPA_numeric,GPA_normalized
2,1,0,2,0,0,34,5,0,15,5,3,4,4,4,5,5,5,3,4,4,3,2,0,0,3.9066666666666654,5,2,2.25,0.1842105263157895
2,1,1,2,1,2,20,24,9,30,4,1,5,3,4,5,3,3,3,5,4,3,4,0,0,3.9066666666666654,5,2,2.8,0.4736842105263158
2,1,1,0,2,2,12,25,10,29,1,1,3,3,2,3,3,1,3,3,3,0,0,1,0,3.0,12,2,2.8,0.4736842105263158
2,1,1,0,1,0,37,21,11,7,2,3,5,5,5,3,4,5,3,5,3,3,3,0,0,1.0,5,2,2.8,0.4736842105263158
2,0,1,0,0,2,24,8,0,11,5,1,5,4,4,5,5,5,5,5,5,2,2,1,29,5.0,1,2,2.8,0.4736842105263158
2,1,4,2,1,2,33,24,0,27,1,1,1,4,2,4,1,1,2,2,1,2,3,1,24,4.0,19,2,1.9,0.0
2,1,1,1,0,2,5,11,24,22,4,1,4,2,1,2,2,4,2,4,2,0,2,1,13,4.0,11,2,2.8,0.4736842105263158
2,1,1,0,0,2,0,9,14,15,3,3,4,4,4,3,3,3,3,4,4,3,0,1,15,4.0,3,2,2.8,0.4736842105263158
2,1,2,0,2,2,32,14,8,24,3,4,3,3,3,4,3,3,5,4,4,0,2,1,0,3.0,5,2,3.3,0.7368421052631579
2,1,1,0,1,0,24,9,21,0,3,2,3,1,2,2,2,2,2,3,4,2,2,1,18,3.0,5,2,2.8,0.4736842105263158
2,1,1,2,1,1,41,18,11,27,1,3,3,3,4,3,1,1,4,1,2,2,3,1,0,4.0,5,2,2.8,0.4736842105263158
2,0,2,0,0,0,30,19,2,28,5,1,5,5,4,5,5,3,3,5,5,3,4,1,52,5.0,5,2,3.3,0.7368421052631579
2,0,1,0,1,0,39,11,22,27,1,1,5,3,4,3,3,3,3,3,3,0,0,1,43,3.0,5,2,2.8,0.4736842105263158
1,5,1,0,0,0,24,9,11,27,4,1,4,4,2,3,3,3,3,4,3,0,4,0,0,3.9066666666666654,5,2,2.8,0.4736842105263158
2,1,2,0,2,0,35,11,22,15,3,5,4,3,5,5,1,4,5,2,5,0,3,1,0,1.0,5,2,3.3,0.7368421052631579
0,5,1,0,1,2,24,9,21,15,3,1,2,2,3,3,3,3,2,3,3,3,4,1,28,3.0,5,2,2.8,0.4736842105263158
2,1,1,2,1,1,12,9,0,0,2,4,4,5,1,4,1,1,1,1,3,2,1,0,44,1.0,8,2,2.8,0.4736842105263158
2,1,0,2,1,0,38,25,3,11,1,5,5,5,5,4,4,2,1,2,2,3,2,1,0,3.0,5,2,2.25,0.1842105263157895
