Year of study,Faculty,Your GPA Range,How do you describe yourself?,Preferred activity type,Are you willing to try new types of events?,Academic interests,Preferred Learning Platforms,Learning resource  preferences,Preferred learning format,"Extracurricular interest Assessment (1- not interested, 5- very interested)  [Sports]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Music]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Photography]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Volunteering]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Arts and Crafts]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Academic  workshops]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Study groups]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Cultural programs]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Tech events]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Social gatherings]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Career development sessions]",Preferred mode of participation,How often do you like to attend university events.,Have you attended university events before?,"If yes, Name one or more events you attended.(Academic, Social, Career-related, Cultural, Sports)","Rate your past event experience:  (1= Very poor, 5= Excellent) [Your Rating]",What did you like about previous events?,Any additional suggestions or preferences?
3rd Year,Applied Sciences,2.0 – 2.5,Introvert (I like being alone),Group activities,"Maybe, it depends on the event","Technology, Science","KhanAcademy, LinkedIn Learning, University LMS",Based on interest,Video Lectures,5,3,4,4,4,5,5,5,3,4,4,Physical,Occasionally,No,Academic,3.9066666666666667,Good,No
3rd Year,Applied Sciences,2.6 – 3.0,Introvert (I like being alone),Individual sessions,"Yes, I’m open to trying new events","Science, Psychology, Soft Skills (Communication, Leadership)","YouTube, LinkedIn Learning, University LMS","Based on interest, Recommended by peers, Suggested by platform","Video Lectures, Notes/PDF, Live Sessions",4,1,5,3,4,5,3,3,3,5,4,Physical,Weekly,No,Academic,3.9066666666666667,Good,No
3rd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),No preference,"Yes, I’m open to trying new events",Science,"YouTube, University LMS","Based on interest, Required for exams","Video Lectures, Notes/PDF, Discussion Forums, Live Sessions",1,1,3,3,2,3,3,1,3,3,3,Hybrid,Monthly,Yes,Academic ,3.0,Leadership ,No
3rd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Individual sessions,"Maybe, it depends on the event","Technology, Science, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, KhanAcademy, University LMS","Based on interest, Required for exams, Random browsing","Interactive Quizzes, Notes/PDF, Discussion Forums",2,3,5,5,5,3,4,5,3,5,3,Physical,Rarely,No,Academic,1.0,Good,No
3rd Year,Agriculture,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events",Technology,University LMS,Based on interest,Notes/PDF,5,1,5,4,4,5,5,5,5,5,5,Online,Occasionally,Yes,Culture meet,5.0,Culture drama ,No
3rd Year,Applied Sciences,Below 2.0,Introvert (I like being alone),Individual sessions,"Yes, I’m open to trying new events","Technology, Psychology, Soft Skills (Communication, Leadership)","YouTube, LinkedIn Learning, University LMS",Based on interest,"Video Lectures, Notes/PDF",1,1,1,4,2,4,1,1,2,2,1,Online,Rarely,Yes,"Cultural , Career -related",4.0,Team work and all contributions.,No
3rd Year,Applied Sciences,2.6 – 3.0,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events","Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, Coursera",Suggested by platform,"Video Lectures, Interactive Quizzes, Notes/PDF",4,1,4,2,1,2,2,4,2,4,2,Hybrid,Occasionally,Yes,"Academic,sports",4.0,It's improved team collaboration ,No
3rd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events",Business & Management,YouTube,Random browsing,Video Lectures,3,3,4,4,4,3,3,3,3,4,4,Physical,Monthly,Yes,"AI Exhibition, captures25 (pera), ignite24",4.0,"Fully engaged, interesting, well organized, time management is perfect, lecturer/couch conducted the the program well  ",No
3rd Year,Applied Sciences,3.1 – 3.5,Ambivert (I like both alone time and being with people),No preference,"Yes, I’m open to trying new events","Technology, Psychology, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, Coursera, LinkedIn Learning","Based on interest, Recommended by peers, Required for exams, Random browsing, Suggested by platform","Video Lectures, Interactive Quizzes, Notes/PDF, Discussion Forums, Live Sessions",3,4,3,3,3,4,3,3,5,4,4,Hybrid,Occasionally,Yes,Academic,3.0,Good,No
3rd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Individual sessions,"Maybe, it depends on the event",Technology,YouTube,Required for exams,Discussion Forums,3,2,3,1,2,2,2,2,2,3,4,Online,Occasionally,Yes,Career related,3.0,Good,No
3rd Year,Applied Sciences,2.6 – 3.0,Introvert (I like being alone),Individual sessions,"No, I prefer familiar events","Technology, Science, Psychology, Competitive Exams / Certifications","YouTube, KhanAcademy","Based on interest, Required for exams, Random browsing","Video Lectures, Notes/PDF",1,3,3,3,4,3,1,1,4,1,2,Online,Rarely,Yes,Academic,4.0,Good,No
3rd Year,Agriculture,3.1 – 3.5,Ambivert (I like both alone time and being with people),Group activities,"Maybe, it depends on the event","Technology, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, KhanAcademy, LinkedIn Learning","Based on interest, Random browsing, Suggested by platform","Video Lectures, Notes/PDF, Discussion Forums",5,1,5,5,4,5,5,3,3,5,5,Physical,Weekly,Yes,"sports,Academic Social",5.0,Good,No
3rd Year,Agriculture,2.6 – 3.0,Ambivert (I like both alone time and being with people),Individual sessions,"Maybe, it depends on the event","Technology, Science, Psychology, Business & Management","YouTube, Coursera","Required for exams, Random browsing","Video Lectures, Notes/PDF",1,1,5,3,4,3,3,3,3,3,3,Hybrid,Monthly,Yes,New year celebration,3.0,Good,No
2nd Year,Technology,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Maybe, it depends on the event",Technology,YouTube,"Based on interest, Required for exams, Random browsing","Video Lectures, Notes/PDF",4,1,4,4,2,3,3,3,3,4,3,Hybrid,Weekly,No,Academic,3.9066666666666667,Good,No
3rd Year,Applied Sciences,3.1 – 3.5,Ambivert (I like both alone time and being with people),No preference,"Maybe, it depends on the event","Technology, Science, Business & Management","YouTube, Coursera","Required for exams, Random browsing",Video Lectures,3,5,4,3,5,5,1,4,5,2,5,Hybrid,Rarely,Yes,Academic,1.0,Good,No
1st Year,Technology,2.6 – 3.0,Ambivert (I like both alone time and being with people),Individual sessions,"Yes, I’m open to trying new events",Technology,YouTube,Required for exams,Video Lectures,3,1,2,2,3,3,3,3,2,3,3,Physical,Weekly,Yes,Culture ,3.0,Good,No
3rd Year,Applied Sciences,2.6 – 3.0,Introvert (I like being alone),Individual sessions,"No, I prefer familiar events",Science,YouTube,Based on interest,Discussion Forums,2,4,4,5,1,4,1,1,1,1,3,Online,No preference,No,No,1.0,I did not participate any events before.,No
3rd Year,Applied Sciences,2.0 – 2.5,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event","Technology, Science, Psychology","YouTube, University LMS","Based on interest, Recommended by peers",Notes/PDF,1,5,5,5,5,4,4,2,1,2,2,Physical,Occasionally,Yes,academic,3.0,Good,No
3rd Year,Applied Sciences,Below 2.0,Ambivert (I like both alone time and being with people),Individual sessions,"Yes, I’m open to trying new events",Science,YouTube,Suggested by platform,Notes/PDF,2,2,3,3,3,3,1,1,1,3,3,Physical,Monthly,No,No,3.0,No,No
3rd Year,Applied Sciences,2.0 – 2.5,Introvert (I like being alone),Individual sessions,"Yes, I’m open to trying new events",Technology,YouTube,Based on interest,"Video Lectures, Notes/PDF",4,3,3,2,2,3,2,2,3,1,4,Online,Occasionally,Yes,Games,4.0,Good ,No
3rd Year,Applied Sciences,2.0 – 2.5,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events",Science,"YouTube, University LMS","Based on interest, Recommended by peers","Video Lectures, Notes/PDF, Discussion Forums",2,3,4,4,2,4,3,4,3,4,4,Physical,Monthly,No,Academic,3.0,Thaipongal,No
3rd Year,Applied Sciences,2.0 – 2.5,Introvert (I like being alone),No preference,"Maybe, it depends on the event",Science,"YouTube, ",Based on interest,"Video Lectures, Interactive Quizzes",3,3,5,4,5,4,5,3,3,2,2,Hybrid,Occasionally,Yes,"Academic, sports,career-related",3.0,Good,No
3rd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),No preference,"Maybe, it depends on the event",Science,University LMS,Required for exams,Notes/PDF,3,5,4,4,5,5,5,4,4,3,4,Physical,Weekly,Yes,"Cultural, acadamic, social, career related",5.0,Exhibition (academic event),Department trip 
3rd Year,Applied Sciences,2.0 – 2.5,Extrovert (I enjoy being with others),Group activities,"Maybe, it depends on the event","Business & Management, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)",YouTube,"Based on interest, Recommended by peers","Video Lectures, Notes/PDF, Live Sessions",4,3,5,5,4,3,5,5,2,3,3,Physical,Occasionally,Yes,FASExplore Exhibition ,3.0,Good,No
3rd Year,Applied Sciences,2.6 – 3.0,Extrovert (I enjoy being with others),Individual sessions,"Yes, I’m open to trying new events","Technology, Science, Psychology, Soft Skills (Communication, Leadership)","YouTube, Coursera, LinkedIn Learning, University LMS","Based on interest, Recommended by peers, Random browsing","Video Lectures, Interactive Quizzes, Discussion Forums, Live Sessions",3,5,5,5,3,3,4,3,4,5,5,Physical,Occasionally,Yes,Academic and social and career,4.0,Social events,No
